수집일시,소노사업장,사업장ID,경쟁사명,OTA,체크인,체크아웃,객실유형,판매가(원),통화,판매상태,URL,오류,is_own,is_promo,별점(10점),리뷰수
2026-04-16 06:25:01,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-06,2026-05-07,소노캄A,262000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-06&checkOutDate=2026-05-07,,True,False,4.7,731
2026-04-16 06:25:01,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-06,2026-05-07,소노캄B,298000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-06&checkOutDate=2026-05-07,,True,False,4.7,731
2026-04-16 06:25:04,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-07,2026-05-08,패밀리,167000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-07&checkOutDate=2026-05-08,,True,False,4.7,731
2026-04-16 06:25:04,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-07,2026-05-08,스위트,195000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-07&checkOutDate=2026-05-08,,True,False,4.7,731
2026-04-16 06:25:04,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-07,2026-05-08,소노캄A,262000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-07&checkOutDate=2026-05-08,,True,False,4.7,731
2026-04-16 06:25:04,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-07,2026-05-08,소노캄B,298000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-07&checkOutDate=2026-05-08,,True,False,4.7,731
2026-04-16 06:25:06,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-08,2026-05-09,패밀리,188000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-08&checkOutDate=2026-05-09,,True,False,4.7,731
2026-04-16 06:25:06,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-08,2026-05-09,스위트,214000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-08&checkOutDate=2026-05-09,,True,False,4.7,731
2026-04-16 06:25:06,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-08,2026-05-09,소노캄A,289000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-08&checkOutDate=2026-05-09,,True,False,4.7,731
2026-04-16 06:25:06,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-08,2026-05-09,소노캄B,324000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-08&checkOutDate=2026-05-09,,True,False,4.7,731
