crawled_at,property_name,property_id,competitor_name,ota,checkin_date,checkout_date,room_type,price,currency,availability,url,error,is_own,is_promo
2026-04-15 20:43:49,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-19,2026-04-20,스위트 B,0,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-19&checkOutDate=2026-04-20,,False,False
2026-04-15 20:43:49,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-19,2026-04-20,패밀리,0,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-19&checkOutDate=2026-04-20,,False,False
2026-04-15 20:43:49,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-19,2026-04-20,스탠다드 B,0,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-19&checkOutDate=2026-04-20,,False,False
2026-04-15 20:43:49,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-19,2026-04-20,스탠다드 A,0,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-19&checkOutDate=2026-04-20,,False,False
2026-04-15 20:43:50,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-20,2026-04-21,스탠다드 B,92660,KRW,available,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-20&checkOutDate=2026-04-21,,False,False
2026-04-15 20:43:50,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-20,2026-04-21,패밀리,119780,KRW,available,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-20&checkOutDate=2026-04-21,,False,False
2026-04-15 20:43:50,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-20,2026-04-21,스위트 B,141250,KRW,available,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-20&checkOutDate=2026-04-21,,False,False
2026-04-15 20:43:50,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-20,2026-04-21,럭셔리 B,164980,KRW,available,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-20&checkOutDate=2026-04-21,,False,False
2026-04-15 20:43:50,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-20,2026-04-21,스탠다드 B 트리플,0,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-20&checkOutDate=2026-04-21,,False,False
2026-04-15 20:43:50,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-20,2026-04-21,스탠다드 A,0,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-20&checkOutDate=2026-04-21,,False,False
2026-04-15 20:43:52,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-21,2026-04-22,스탠다드 A,81360,KRW,available,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-21&checkOutDate=2026-04-22,,False,False
