property_name,competitor_name,ota,room_category,checkin_date,2026-04-17,2026-04-18,2026-04-19,2026-04-20,2026-04-21,2026-04-22,2026-04-23,2026-04-24,2026-04-25,2026-04-26,2026-04-27,2026-04-28,2026-04-29
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,디럭스,2026-05-15,,207000.0,207000.0,205000.0,204000.0,202000.0,202000.0,202000.0,202000.0,202000.0,202000.0,202000.0,202000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,디럭스,2026-05-16,,240000.0,240000.0,237000.0,237000.0,237000.0,237000.0,237000.0,237000.0,235000.0,235000.0,235000.0,235000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,디럭스,2026-05-20,,,,,,,,,,,,171000.0,171000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,디럭스,2026-05-22,,,,,,265000.0,265000.0,265000.0,265000.0,265000.0,265000.0,265000.0,265000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,디럭스,2026-05-23,,,,,,,,,477000.0,477000.0,477000.0,477000.0,477000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,디럭스,2026-05-24,,,,,,,,,,,477000.0,477000.0,477000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,디럭스,2026-05-27,,,,,,,,,,,,171000.0,171000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,디럭스,2026-05-29,,,,,,,,,,,,,204000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,스위트,2026-04-24,,,,312000.0,312000.0,312000.0,312000.0,312000.0,312000.0,312000.0,312000.0,312000.0,312000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,스위트,2026-04-29,,,,,,,,,,,,235000.0,235000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,스위트,2026-05-06,,,,,,,,,,,,235000.0,235000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,스위트,2026-05-08,,315000.0,315000.0,312000.0,309000.0,307000.0,307000.0,307000.0,307000.0,307000.0,307000.0,307000.0,307000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,스위트,2026-05-09,,347000.0,347000.0,344000.0,341000.0,339000.0,339000.0,339000.0,339000.0,339000.0,339000.0,339000.0,339000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,스위트,2026-05-13,,,,,,,,,,,,235000.0,235000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,스위트,2026-05-15,,293000.0,293000.0,290000.0,288000.0,286000.0,286000.0,286000.0,286000.0,286000.0,286000.0,286000.0,286000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,스위트,2026-05-16,,293000.0,293000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,스위트,2026-05-20,,,,,,,,,,,,235000.0,235000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,스위트,2026-05-22,,,,,,475000.0,475000.0,475000.0,475000.0,475000.0,475000.0,475000.0,475000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,스위트,2026-05-27,,,,,,,,,,,,235000.0,235000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,스위트,2026-05-29,,,,,,,,,,,,,288000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,디럭스,2026-04-24,,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,디럭스,2026-04-25,,290000.0,290000.0,,,,,,,,,,
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,디럭스,2026-04-29,,,,,,,,,,,,165000.0,165000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,디럭스,2026-05-06,,,,,,,,,,,,159000.0,159000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,디럭스,2026-05-08,,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,디럭스,2026-05-09,,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,디럭스,2026-05-13,,,,,,,,,,,,159000.0,159000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,디럭스,2026-05-15,,190000.0,190000.0,190000.0,190000.0,190000.0,190000.0,190000.0,190000.0,190000.0,190000.0,190000.0,190000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,디럭스,2026-05-16,,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,디럭스,2026-05-20,,,,,,,,,,,,159000.0,159000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,디럭스,2026-05-22,,,,,,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,디럭스,2026-05-23,,,,,,,,,450000.0,450000.0,450000.0,450000.0,450000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,디럭스,2026-05-27,,,,,,,,,,,,159000.0,159000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,디럭스,2026-05-29,,,,,,,,,,,,,190000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,스위트,2026-04-24,,,,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,스위트,2026-05-06,,,,,,,,,,,,220000.0,220000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,스위트,2026-05-08,,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,스위트,2026-05-09,,320000.0,320000.0,320000.0,320000.0,320000.0,320000.0,320000.0,320000.0,320000.0,320000.0,320000.0,320000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,스위트,2026-05-13,,,,,,,,,,,,220000.0,220000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,스위트,2026-05-15,,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,스위트,2026-05-16,,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,스위트,2026-05-20,,,,,,,,,,,,220000.0,220000.0
